"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Josh Allen",BUF,"7","4 out of 5 stars","0"
"2",1,"Lamar Jackson",BAL,"7","3 out of 5 stars","0"
"3",1,"Jayden Daniels",WAS,"12","2 out of 5 stars","0"
"4",1,"Jalen Hurts",PHI,"9","3 out of 5 stars","0"
"5",2,"Joe Burrow",CIN,"10","2 out of 5 stars","0"
"6",2,"Patrick Mahomes II",KC,"10","3 out of 5 stars","0"
"7",2,"Baker Mayfield",TB,"9","2 out of 5 stars","0"
"8",2,"Bo Nix",DEN,"12","4 out of 5 stars","0"
"9",3,"Kyler Murray",ARI,"8","4 out of 5 stars","0"
"10",3,"Dak Prescott",DAL,"10","2 out of 5 stars","+1"
"11",3,"Brock Purdy",SF,"14","4 out of 5 stars","-1"
"12",3,"Justin Fields",NYJ,"9","5 out of 5 stars","+1"
"13",3,"Caleb Williams",CHI,"5","2 out of 5 stars","+2"
"14",3,"Justin Herbert",LAC,"12","3 out of 5 stars","0"
"15",3,"Drake Maye",NE,"14","5 out of 5 stars","+1"
"16",3,"Jared Goff",DET,"8","2 out of 5 stars","-4"
"17",4,"Jordan Love",GB,"5","2 out of 5 stars","+1"
"18",4,"Trevor Lawrence",JAC,"8","3 out of 5 stars","+2"
"19",4,"C.J. Stroud",HOU,"6","3 out of 5 stars","-2"
"20",4,"J.J. McCarthy",MIN,"6","2 out of 5 stars","-1"
"21",4,"Tua Tagovailoa",MIA,"12","5 out of 5 stars","0"
"22",4,"Bryce Young",CAR,"14","3 out of 5 stars","+3"
"23",4,"Michael Penix Jr.",ATL,"5","4 out of 5 stars","+1"
"24",4,"Matthew Stafford",LAR,"8","3 out of 5 stars","-1"
"25",4,"Geno Smith",LV,"8","3 out of 5 stars","+1"
"26",4,"Cam Ward",TEN,"10","2 out of 5 stars","-4"
"27",4,"Sam Darnold",SEA,"8","4 out of 5 stars","0"
"28",5,"Aaron Rodgers",PIT,"5","4 out of 5 stars","0"
"29",5,"Daniel Jones",IND,"11","3 out of 5 stars","+2"
"30",5,"Russell Wilson",NYG,"14","1 out of 5 stars","-1"
"31",5,"Joe Flacco",CLE,"9","2 out of 5 stars","+3"
"32",5,"Anthony Richardson Sr.",IND,"11","3 out of 5 stars","-2"
"33",5,"Jaxson Dart",NYG,"14","1 out of 5 stars","-1"
"34",5,"Tyler Shough",NO,"11","5 out of 5 stars","+2"
"35",5,"Shedeur Sanders",CLE,"9","2 out of 5 stars","-2"
"36",5,"Spencer Rattler",NO,"11","5 out of 5 stars","+3"
"37",6,"Jalen Milroe",SEA,"8","4 out of 5 stars","0"
"38",6,"Kirk Cousins",ATL,"5","4 out of 5 stars","-3"
"39",6,"Jameis Winston",NYG,"14","1 out of 5 stars","-1"
"40",6,"Jimmy Garoppolo",LAR,"8","3 out of 5 stars","+1"
"41",6,"Dillon Gabriel",CLE,"9","2 out of 5 stars","+33"
"42",6,"Kenny Pickett",LV,"8","3 out of 5 stars","+1"
"43",6,"Tyrod Taylor",NYJ,"9","5 out of 5 stars","+38"
"44",6,"Joe Milton III",DAL,"10","2 out of 5 stars","-4"
"45",6,"Mason Rudolph",PIT,"5","4 out of 5 stars","-3"
"46",6,"Malik Willis",GB,"5","2 out of 5 stars","+8"
"47",6,"Marcus Mariota",WAS,"12","2 out of 5 stars","-1"
"48",7,"Zach Wilson",MIA,"12","5 out of 5 stars","+28"
"49",7,"Mac Jones",SF,"14","4 out of 5 stars","+9"
"50",7,"Jake Browning",CIN,"10","2 out of 5 stars","+11"
"51",7,"Aidan O'Connell",LV,"8","3 out of 5 stars","+28"
"52",7,"Gardner Minshew II",KC,"10","3 out of 5 stars","+16"
"53",7,"Sam Howell",PHI,"9","3 out of 5 stars","+18"
"54",7,"Andy Dalton",CAR,"14","3 out of 5 stars","+19"
"55",7,"Cooper Rush",BAL,"7","3 out of 5 stars","+11"
"56",7,"Will Howard",PIT,"5","4 out of 5 stars","-3"
"57",7,"Jacoby Brissett",ARI,"8","4 out of 5 stars","+25"
"58",7,"Tyson Bagent",CHI,"5","2 out of 5 stars","-7"
"59",7,"Joshua Dobbs",NE,"14","5 out of 5 stars","-14"
"60",7,"Mitchell Trubisky",BUF,"7","4 out of 5 stars","+4"
"61",7,"Quinn Ewers",MIA,"12","5 out of 5 stars","+9"
"62",7,"Jarrett Stidham",DEN,"12","4 out of 5 stars","-13"
"63",7,"Taylor Heinicke",LAC,"12","3 out of 5 stars","+23"
"64",7,"Nick Mullens",JAC,"8","3 out of 5 stars","+1"
"65",7,"Kyle Trask",FA,"-","-","+28"
"66",7,"Davis Mills",HOU,"6","3 out of 5 stars","+17"
"67",7,"Deshaun Watson",CLE,"9","2 out of 5 stars","-23"
"68",7,"Hendon Hooker",FA,"-","-","+1"
"69",7,"Tanner McKee",PHI,"9","3 out of 5 stars","-19"
"70",8,"Drew Lock",SEA,"8","4 out of 5 stars","-8"
"71",8,"Trey Lance",LAC,"12","3 out of 5 stars","+1"
"72",8,"Kyle Allen",DET,"8","2 out of 5 stars","+5"
"73",8,"Teddy Bridgewater",TB,"9","2 out of 5 stars","+11"
"74",8,"Carson Wentz",MIN,"6","2 out of 5 stars","-15"
"75",8,"Jake Haener",FA,"-","-","+22"
"76",8,"Riley Leonard",IND,"11","3 out of 5 stars","+30"
"77",8,"Brandon Allen",TEN,"10","2 out of 5 stars","-2"
"78",8,"Case Keenum",CHI,"5","2 out of 5 stars","+35"
"79",8,"Tommy Mellott",LV,"8","4 out of 5 stars","-"
"80",8,"Kyle McCord",FA,"-","-","+31"
"81",8,"Dorian Thompson-Robinson",FA,"-","-","-3"
"82",8,"Clayton Tune",FA,"-","-","+41"
"83",8,"Cam Miller",LV,"8","3 out of 5 stars","+24"
"84",8,"Bailey Zappe",FA,"-","-","+12"
"85",9,"Stetson Bennett IV",LAR,"8","3 out of 5 stars","-18"
